precipitation,temp_max,temp_min,wind,weather,city
0.0,12.8,5.0,4.7,drizzle,Austin
10.9,10.6,2.8,4.5,rain,Austin
0.8,11.7,7.2,2.3,rain,Austin
20.3,12.2,5.6,4.7,rain,Austin
1.3,8.9,2.8,6.1,rain,Austin
2.5,4.4,2.2,2.2,rain,Austin
0.0,7.2,2.8,2.3,rain,Austin
0.0,10.0,2.8,2.0,sun,Austin
4.3,9.4,5.0,3.4,rain,Austin
1.0,6.1,0.6,3.4,rain,Austin
0.0,6.1,-1.1,5.1,sun,Austin
0.0,6.1,-1.7,1.9,sun,Austin
0.0,5.0,-2.8,1.3,sun,Austin
4.1,4.4,0.6,5.3,snow,Austin
5.3,1.1,-3.3,3.2,snow,Austin
2.5,1.7,-2.8,5.0,snow,Austin
8.1,3.3,0.0,5.6,snow,Austin
19.8,0.0,-2.8,5.0,snow,Austin
15.2,-1.1,-2.8,1.6,snow,Austin
13.5,7.2,-1.1,2.3,snow,Austin
3.0,8.3,3.3,8.2,rain,Austin
6.1,6.7,2.2,4.8,rain,Austin
0.0,8.3,1.1,3.6,rain,Austin
8.6,10.0,2.2,5.1,rain,Austin
8.1,8.9,4.4,5.4,rain,Austin
4.8,8.9,1.1,4.8,rain,Austin
0.0,6.7,-2.2,1.4,drizzle,Austin
0.0,6.7,0.6,2.2,rain,Austin
27.7,9.4,3.9,4.5,rain,Austin
3.6,8.3,6.1,5.1,rain,Austin
1.8,9.4,6.1,3.9,rain,Austin
13.5,8.9,3.3,2.7,rain,Austin
0.0,8.3,1.7,2.6,sun,Austin
0.0,14.4,2.2,5.3,sun,Austin
0.0,15.6,5.0,4.3,sun,Austin
0.0,13.9,1.7,2.9,sun,Austin
0.0,16.1,1.7,5.0,sun,Austin
0.3,15.6,7.8,5.3,rain,Austin
2.8,10.0,5.0,2.7,rain,Austin
2.5,11.1,7.8,2.4,rain,Austin
2.5,12.8,6.7,3.0,rain,Austin
0.8,8.9,5.6,3.4,rain,Austin
1.0,8.3,5.0,1.3,rain,Austin
11.4,7.2,4.4,1.4,rain,Austin
2.5,6.7,1.1,3.1,rain,Austin
0.0,7.2,0.6,1.8,drizzle,Austin
1.8,7.2,3.3,2.1,rain,Austin
17.3,10.0,4.4,3.4,rain,Austin
6.4,6.7,3.9,8.1,rain,Austin
0.0,6.7,2.2,4.7,sun,Austin
3.0,7.8,1.7,2.9,rain,Austin
0.8,10.0,7.8,7.5,rain,Austin
8.6,10.0,2.8,5.9,rain,Austin
0.0,8.3,2.8,3.9,sun,Austin
11.4,6.7,4.4,3.5,rain,Austin
0.0,7.2,2.8,6.4,rain,Austin
1.3,5.0,-1.1,3.4,snow,Austin
0.0,6.7,-2.2,3.0,sun,Austin
3.6,6.7,-0.6,4.2,snow,Austin
0.8,5.0,1.1,7.0,snow,Austin
0.0,6.1,1.1,3.1,sun,Austin
2.0,6.7,3.9,5.1,rain,Austin
0.0,12.2,6.7,7.0,sun,Austin
0.0,10.6,6.7,5.6,rain,Austin
6.9,7.8,1.1,6.2,rain,Austin
0.5,6.7,0.0,2.7,snow,Austin
0.0,8.9,-1.7,2.7,sun,Austin
0.0,15.6,0.6,2.5,sun,Austin
3.6,9.4,5.0,2.8,rain,Austin
10.4,7.2,6.1,3.4,rain,Austin
13.7,6.7,2.8,5.8,rain,Austin
19.3,8.3,0.6,6.2,snow,Austin
9.4,5.6,0.6,5.3,snow,Austin
8.6,7.8,1.1,4.7,rain,Austin
23.9,11.1,5.6,5.8,snow,Austin
8.4,8.9,3.9,5.1,rain,Austin
9.4,10.0,0.6,3.8,snow,Austin
3.6,5.0,-0.6,2.7,rain,Austin
2.0,7.2,-1.1,3.0,rain,Austin
3.6,7.8,2.2,6.4,rain,Austin
1.3,8.9,1.1,2.5,rain,Austin
4.1,10.0,1.7,2.1,rain,Austin
0.0,12.2,0.6,2.8,sun,Austin
0.0,15.0,3.3,5.2,sun,Austin
0.0,13.3,2.2,2.7,rain,Austin
0.0,12.8,6.1,4.3,drizzle,Austin
4.8,14.4,6.7,3.8,rain,Austin
1.3,10.6,7.2,5.9,rain,Austin
27.4,10.0,6.1,4.4,rain,Austin
5.6,9.4,5.0,4.7,rain,Austin
13.2,10.0,2.8,3.4,rain,Austin
1.5,8.9,4.4,6.8,rain,Austin
0.0,16.7,4.4,3.1,sun,Austin
1.5,11.7,3.3,3.1,rain,Austin
0.0,10.6,2.8,2.1,sun,Austin
4.6,9.4,2.8,1.8,snow,Austin
0.3,11.1,3.3,2.6,rain,Austin
0.0,16.1,1.7,4.3,sun,Austin
0.0,21.1,7.2,4.1,sun,Austin
0.0,20.0,6.1,2.1,sun,Austin
0.0,17.8,8.9,3.2,rain,Austin
2.3,11.1,7.2,2.6,rain,Austin
0.5,13.9,5.6,2.6,rain,Austin
0.0,15.0,3.9,4.0,drizzle,Austin
0.0,15.6,3.3,3.0,sun,Austin
0.0,16.1,7.2,2.9,rain,Austin
8.1,13.3,6.7,5.8,rain,Austin
1.8,10.0,4.4,2.0,rain,Austin
1.8,13.3,7.2,3.9,rain,Austin
10.9,13.9,5.0,2.6,rain,Austin
6.6,13.3,6.7,2.7,rain,Austin
0.0,20.0,4.4,2.3,sun,Austin
0.0,23.3,8.3,2.6,rain,Austin
0.0,21.7,8.9,3.5,sun,Austin
4.3,13.9,10.0,2.8,rain,Austin
10.7,16.7,8.9,2.6,rain,Austin
3.8,13.9,6.7,5.2,rain,Austin
0.8,13.3,6.1,4.8,rain,Austin
0.0,16.1,8.3,2.5,drizzle,Austin
4.3,15.6,8.9,1.6,rain,Austin
4.3,12.8,7.2,8.0,rain,Austin
0.5,11.7,6.1,6.4,rain,Austin
0.5,13.3,5.6,2.5,rain,Austin
18.5,11.1,7.2,3.4,rain,Austin
1.8,12.2,6.1,4.6,rain,Austin
0.0,13.3,5.0,2.3,sun,Austin
0.0,17.8,5.0,2.4,sun,Austin
0.0,23.9,6.1,2.2,sun,Austin
0.0,18.3,9.4,3.0,sun,Austin
0.0,13.3,6.7,3.9,rain,Austin
0.0,14.4,3.9,3.0,sun,Austin
0.0,18.3,4.4,4.3,sun,Austin
0.0,24.4,6.7,3.4,sun,Austin
0.0,25.6,9.4,4.2,sun,Austin
0.0,26.7,12.8,3.8,sun,Austin
0.0,24.4,9.4,4.1,drizzle,Austin
0.0,19.4,9.4,3.5,sun,Austin
0.0,17.8,6.7,2.9,rain,Austin
0.0,15.6,7.8,3.1,rain,Austin
0.0,19.4,7.2,1.5,sun,Austin
6.4,14.4,11.7,1.3,rain,Austin
14.0,16.7,10.0,4.0,rain,Austin
